OBJECTID,arcid,GridID,Shape_Length,OrigLength,SplitID,HydroID,From_Node,To_Node,NextDownID,PU_Order,DrainID,LengthKM,unique_id,NEAR_reach_id
1,1,3578,539.037192,539.037192,3520,3578,1,2,3579,1,3790,0.164299,0,2360643
2,3,3579,908.957019,908.957019,3522,3579,2,3,3602,4,3791,0.277051,1,2360643
3,7,3580,1734.160458,1734.160458,3526,3580,4,5,3613,7,3792,0.528573,2,2359472
4,13,3581,1415.009603,1415.009603,3532,3581,6,7,3621,10,3793,0.431296,3,2331856
5,29,3582,2097.934781,2097.934781,3548,3582,8,9,3665,1,3794,0.639452,4,2327178
6,34,3583,111.182995,111.182995,3553,3583,10,11,3673,14,3795,0.033889,5,2353635
7,37,3584,1132.785755,1132.785755,3556,3584,12,13,3677,1,3796,0.345274,6,2344873
8,38,3585,494.19913,494.19913,3557,3585,14,13,3677,1,3797,0.150632,7,2344873
9,41,3586,2048.511776,2048.511776,3560,3586,15,16,3589,1,3798,0.624388,8,2375353
10,42,3587,2216.029137,2216.029137,3561,3587,17,16,3589,1,3799,0.675447,9,2375353
11,43,3588,1494.778272,1494.778272,3562,3588,18,19,3590,19,3800,0.455609,10,2380740
12,44,3589,2037.596938,2037.596938,3563,3589,16,19,3590,2,3801,0.621061,11,2375353
13,47,3590,1159.112363,1159.112363,3566,3590,19,20,3591,20,3802,0.353298,12,2380740
14,49,3591,1191.696153,1191.696153,3568,3591,20,21,3592,21,3803,0.36323,13,2328644
15,50,3592,316.963329,316.963329,3569,3592,21,22,3705,22,3804,0.096611,14,2347778
16,55,3593,2341.681738,2341.681738,3574,3593,23,24,3711,32,3805,0.713746,15,2343907
17,2,3594,2610.16801,7830.50403,3521,3594,25,26,3595,1,3806,0.795581,16,2328257
18,2,3595,2610.16801,7830.50403,3521,3595,26,27,3596,2,3807,0.795581,17,2328257
19,2,3596,2610.16801,7830.50403,3521,3596,27,2,3579,3,3808,0.795581,18,2328168
20,4,3597,2945.320863,5890.641727,3523,3597,28,29,3598,1,3809,0.897736,19,2319724
21,4,3598,2945.320863,5890.641727,3523,3598,29,3,3602,2,3810,0.897736,20,2319724
22,5,3599,2210.835835,6632.507505,3524,3599,30,31,3600,1,3811,0.673864,21,2368012
23,5,3600,2210.835835,6632.507505,3524,3600,31,32,3601,2,3812,0.673864,22,2368012
24,5,3601,2210.835835,6632.507505,3524,3601,32,4,3580,3,3813,0.673864,23,2361321
25,6,3602,2887.54208,5775.084159,3525,3602,3,33,3603,5,3814,0.880125,24,2364907
