Join_Count,nearest,TARGET_FID,location_name,proximity,river_water_body_name,nws_shef_id,location_type,usgs_id,latitude,longitude,wfo,rfc,state,county,wrr,timezone,inundation,elevation,reach_id,Shape_Leng
1,0.000026275576634,1,Williamson Creek at Manchaca Road at Austin,,,AAIT2,,8158930,30.221111111111000,-97.793333333332995,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2338122,0.008363601283480
1,0.000402149183611,2,Barton Creek at Loop 360,,,ABTT2,,8155300,30.244444444443999,-97.801944444444004,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2367956,0.008330454979580
1,0.000398714902151,3,Bull Creek above Loop 360,,,ABUT2,,8154700,30.371944444444001,-97.784444444444006,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2320083,0.001708184497520
1,0.000969591391911,4,Colorado River (TX) at Austin,,,ACRT2,,8158000,30.246111111110999,-97.680000000000007,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2355261,0.010010260398500
1,0.000232004340373,5,Shoal Creek at West 12th Street,,,AHOT2,,8156800,30.276388888888999,-97.750000000000000,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2360775,0.013623488394900
1,0.003016238932334,6,Colorado River (TX) at Lake Austin,,,ALKT2,,8154900,30.314928299999998,-97.786395799999994,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2365483,0.007047541813000
1,0.000123382926011,7,Shoal Creek above Silverway Drive,,,ASHT2,,8156675,30.354166666666998,-97.738888888888994,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2382255,0.004521135380040
1,0.000211859621084,8,Onion Creek at US 183,,,ATIT2,,8159000,30.177777777778001,-97.688333333333006,EWX,WGRFC,TX,Travis,,CST6CDT,true,,2335188,0.010341443355700
1,0.000272417915053,9,Barton Creek above Barton Springs,,,BCCT2,,8155400,30.263333333333001,-97.771944444444003,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2374939,0.003046698144380
1,0.000130673780321,10,Bear Creek below Route 1826 at Driftwood,,,BCDT2,,8158810,30.155277777778000,-97.939722222222002,EWX,WGRFC,TX,Hays,,CST6CDT,false,,2320543,0.007605500753680
1,0.000140410973965,11,Brushy Creek at I-35 Round Rock,,,BCIT2,,8105883,30.512777777777799,-97.686388888888899,EWX,WGRFC,TX,Williamson,,CST6CDT,false,,2352941,0.002745735005670
1,0.000126561448694,12,Bear Creek at Spillar Ranch Road,,,BCMT2,,8158813,30.163611111111098,-97.906944444444406,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2368449,0.012672518871000
1,0.000092498693640,13,Boggy Creek at Webberville Road,,,BCWT2,,8158035,30.263055555556001,-97.712500000000006,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2340491,0.004572333694780
1,0.000640955499282,14,Onion Creek at Buda,,,BDUT2,,,30.086666666667000,-97.848611111110998,EWX,WGRFC,TX,Hays,,CST6CDT,false,,2320413,0.005080963705420
1,0.000031037710113,15,Boggy Creek at Manor Road,,,BGMT2,,8158030,30.286111111111001,-97.708611111110997,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2352789,0.001128812198520
1,0.000266611902425,16,Brushy Creek at Kenney Fort Blvd nr Round Rock,,,BKFT2,,8105888,30.512222000000001,-97.636667000000003,EWX,WGRFC,TX,Williamson,,CST6CDT,false,,2320181,0.005731917363950
1,0.000015525953840,17,Brushy Creek at Cedar Park,,,BYBT2,,8105872,30.524999999999999,-97.749722000000006,EWX,WGRFC,TX,Williamson,,CST6CDT,false,,2375249,0.002892774126250
1,0.000876561782198,18,Onion Creek near Driftwood,,,DRWT2,,8158700,30.082777777777999,-98.007499999999993,EWX,WGRFC,TX,Hays,,CST6CDT,false,,2323328,0.009719606426800
1,0.000125504712932,19,Wilbarger Creek at Elgin,,,EGYT2,,,30.231944444444000,-97.432777777778000,EWX,WGRFC,TX,Bastrop,,CST6CDT,false,,2343334,0.000704223844853
1,0.000040098949944,20,Lost Creek at Lost Creek Blvd,,,LCKT2,,8155240,30.273888888889001,-97.844444444443994,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2365163,0.000231690522211
1,0.000013289556470,21,Lake Creek at Lake Creek Parkway near Cedar Park 5SE,,,LKPT2,,8105886,30.465555555556001,-97.787777777778004,EWX,WGRFC,TX,Williamson,,CST6CDT,false,,2334165,0.000362063046139
1,0.000407776127206,22,Little Walnut Creek (TX) at Georgian Drive near Austin 7N,,,LWGT2,,8158380,30.354166666666998,-97.697777777778001,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2352089,0.002032408894410
1,0.000685690903272,23,Colorado River (TX) at Lake Travis,,,MSDT2,,8154500,30.391590200000000,-97.906955400000001,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2363484,0.020593437503300
1,0.000205761481903,24,Barton Creek above Hwy 71 near Oak Hill,,,OHBT2,,8155200,30.296111111110999,-97.925277777778007,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2364037,0.000881962638426
1,0.000750695588246,25,Onion Creek at Twin Creeks near Manchaca,,,ONIT2,,8158827,30.126111111111001,-97.820833333332999,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2339669,0.003153354411400
1,0.000262697777236,26,West Bouldin Creek above Oltorf Road at Austin,,,ORBT2,,8155541,30.246666666667000,-97.769166666667005,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2380619,0.003351102145710
1,0.000108711605154,27,Slaughter Creek at FM 1826 near Austin 6NW,,,SCAT2,,8158840,30.208888888889000,-97.903055555555596,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2341368,0.002182292955160
1,0.000039953289463,28,Slaughter Creek at FM 2304 near Manchaca 2NNE,,,SLHT2,,8158860,30.161944444444000,-97.831944444444005,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2365945,0.008893168024380
1,0.000001140604902,29,Walnut Creek at Dessau Rd near Austin,,,WADT2,,8158200,30.375000000000000,-97.660277777778006,EWX,WGRFC,TX,Travis,,CST6CDT,false,,2341504,0.000643354160958
